"TIME","GEO","SEX","UNIT","Value"
"2019W03","Slovenia","Males","Number","232"
"2019W03","Slovenia","Females","Number","249"
"2019W03","Slovakia","Total","Number","1 176"
"2019W03","Slovakia","Males","Number","604"
"2019W03","Slovakia","Females","Number","572"
"2019W03","Finland","Total","Number","1 171"
"2019W03","Finland","Males","Number","596"
"2019W03","Finland","Females","Number","575"
"2019W03","Sweden","Total","Number","1 839"
"2019W03","Sweden","Males","Number","911"
"2019W03","Sweden","Females","Number","928"
"2019W03","United Kingdom","Total","Number","13 512"
"2019W03","United Kingdom","Males","Number","6 711"
"2019W03","United Kingdom","Females","Number","6 801"
"2019W03","Iceland","Total","Number","40"
"2019W03","Iceland","Males","Number","18"
"2019W03","Iceland","Females","Number","22"
"2019W03","Liechtenstein","Total","Number","2"
"2019W03","Liechtenstein","Males","Number","0"
"2019W03","Liechtenstein","Females","Number","2"
"2019W03","Norway","Total","Number","811"
"2019W03","Norway","Males","Number","402"
"2019W03","Norway","Females","Number","409"
"2019W03","Switzerland","Total","Number","1 358"
"2019W03","Switzerland","Males","Number","668"
"2019W03","Switzerland","Females","Number","690"
"2019W03","Montenegro","Total","Number","142"
"2019W03","Montenegro","Males","Number","73"
"2019W03","Montenegro","Females","Number","69"
"2019W03","Albania","Total","Number","529"
"2019W03","Albania","Males","Number","270"
"2019W03","Albania","Females","Number","259"
"2019W03","Serbia","Total","Number","2 147"
"2019W03","Serbia","Males","Number","1 056"
"2019W03","Serbia","Females","Number","1 091"
"2019W03","Andorra","Total","Number","4"
"2019W03","Andorra","Males","Number","3"
"2019W03","Andorra","Females","Number","1"
"2019W03","Armenia","Total","Number","577"
"2019W03","Armenia","Males","Number","304"
"2019W03","Armenia","Females","Number","273"
"2019W03","Georgia","Total","Number","1 117"
"2019W03","Georgia","Males","Number","599"
"2019W03","Georgia","Females","Number","518"
"2019W04","Belgium","Total","Number","2 395"
"2019W04","Belgium","Males","Number","1 214"
"2019W04","Belgium","Females","Number","1 181"
"2019W04","Bulgaria","Total","Number","2 848"
"2019W04","Bulgaria","Males","Number","1 475"
"2019W04","Bulgaria","Females","Number","1 373"
"2019W04","Czechia","Total","Number","2 365"
"2019W04","Czechia","Males","Number","1 167"
"2019W04","Czechia","Females","Number","1 198"
"2019W04","Denmark","Total","Number","1 085"
"2019W04","Denmark","Males","Number","542"
"2019W04","Denmark","Females","Number","543"
"2019W04","Germany (until 1990 former territory of the FRG)","Total","Number","19 505"
"2019W04","Germany (until 1990 former territory of the FRG)","Males","Number",":"
"2019W04","Germany (until 1990 former territory of the FRG)","Females","Number",":"
"2019W04","Estonia","Total","Number","324"
"2019W04","Estonia","Males","Number","153"
"2019W04","Estonia","Females","Number","171"
"2019W04","Greece","Total","Number","2 860"
"2019W04","Greece","Males","Number","1 383"
"2019W04","Greece","Females","Number","1 477"
"2019W04","Spain","Total","Number","10 141"
"2019W04","Spain","Males","Number","5 070"
"2019W04","Spain","Females","Number","5 071"
"2019W04","France","Total","Number","13 930"
"2019W04","France","Males","Number","6 858"
"2019W04","France","Females","Number","7 072"
"2019W04","Croatia","Total","Number","1 319"
"2019W04","Croatia","Males","Number","633"
"2019W04","Croatia","Females","Number","686"
"2019W04","Italy","Total","Number","15 360"
"2019W04","Italy","Males","Number","7 248"
"2019W04","Italy","Females","Number","8 112"
"2019W04","Cyprus","Total","Number","156"
"2019W04","Cyprus","Males","Number","95"
"2019W04","Cyprus","Females","Number","61"
